language	dialect	n_sibilants	stimulus	translation	position
Adyghe	Shapsugh	3	sanɐ	вино	#sa
Adyghe	Bzhedugh	4	sapɐ	пыль	#sa
Adyghe	Bzhedugh	4	sɐχɐ		#sɐ
Adyghe	Bzhedugh	4	sɐŝ'ɐ		#sɐ
Adyghe	Bzhedugh	4	sɐŝ'ə		#sɐ
Adyghe	Shapsugh	3	səħat	час	#sə
Adyghe	Shapsugh	3	sɐhat	час	#sə
Adyghe	Shapsugh	3	sɐħat	час	#sə
Adyghe	Shapsugh	3	səʒɐ		#sə
Adyghe	Bzhedugh	4	səʒɐ		#sə
Adyghe	Shapsugh	3	sɐɕɐ		#sə
Adyghe	Bzhedugh	4	sabəjə	ребенок	asə
Adyghe	Bzhedugh	4	sabəj	ребенок	asə
Adyghe	Shapsugh	3	wɐsə	снег	ɐsə
Adyghe	Shapsugh	3	nəsɐ	невеста	əsɐ
Adyghe	Bzhedugh	4	nəsɐ	невеста	əsɐ
Adyghe	Bzhedugh	4	qjəsədzjə		əsə
Adyghe	Bzhedugh	4	ħisap	математика	isa
Chukchi		1	sajkok	чайник	#sa
Chukchi		1	trasajoskewʔəm	чай	asa
Chukchi		1	nəsasaqen	вкусный	asa
Chukchi		1	nəsasaqen2	вкусный	əsa
Kabardian	Kuban	3	sɐ	я	#sɐ
Nanai	Dzhuen	1 или 2	sajna	наверное	#sa
Nanai	Naikhin	1 или 2	sajna	наверное	#sa
Nanai			saji		#sa
Nanai			sajrakta		#sa
Nanai	Naikhin	1 или 2	sain	отметина	#sa
Nanai	Dzhuen	1 или 2	sɛbdɛni	весело	#sɛ
Nanai	Dzhuen	1 или 2	sɛlɛ	железо	#sɛ
Nanai	Dzhuen	1 или 2	sɛure	шелк	#sɛ
Nanai	Naikhin	1 или 2	sɛlɛ	железо	#sɛ
Nanai	Naikhin	1 или 2	sɛlɛ	красновато	#sɛ
Nanai	Naikhin	1 или 2	sɛul	кормовое весло	#sɛ
Nanai	Naikhin	1 или 2	sɛuli	править кормовым веслом	#sɛ
Nanai	Naikhin	1 или 2	sɛure	шелк	#sɛ
Nanai	Dzhuen	1 или 2	ɡɪasa	изгородь	asa
Nanai	Dzhuen	1 или 2	giasa	изгородь	asa
Nanai	Naikhin	1 или 2	ɡɪasa	изгородь	asa
Nanai	Dzhuen	1 или 2	ɡusɛrɛw	расскажи	usɛ
Nanai	Naikhin	1 или 2	ɡusɛrɛw	расскажи	usɛ
Russian		2	санки		#sa
Russian		2	сани		#sa
Russian		2	саня		#sa
Russian		2	саша		#sa
Russian		2	сахар		#sa
Russian		2	савва		#sa
Russian		2	сад		#sa
Russian		2	сэндвич		#se
Russian		2	сэконд-хэнд		#se
Russian		2	сэр		#se
Russian		2	глясе		#se
Russian		2	кофе-глясе		#se
Russian		2	посад		asa
Russian		2	посадки		asa
Russian		2	осанка		asa
Russian		2	коса		asa
Russian		2	часа		asa
Russian		2	два часa		asa
Russian		2	колбаса		asa
Russian		2	волосы		asə
Ubykh		4	sa	what?	#sa
Ubykh		4	səc°ʼán	I cry 	#sə
Ubykh		4	asəxán	I open it	asə
Udmurt	Beserman	3	sajkanə	протрезветь	#sa
Udmurt	Beserman	3	sajkaz	протрезвел	#sa
Udmurt	Beserman	3	sajkatənə		#sa
Udmurt	Beserman	3	sajkət	ясный о голове, светлый о небе	#sa
Udmurt	Beserman	3	sajkət	ясный о голове, светлый о небе	#sa
Udmurt	Beserman	3	sajkišʼkənə	очнуться просветлеть	#sa
Udmurt	Beserman	3	sajkač'kənə	очнуться просветлеть	#sa
Udmurt	Beserman	3	sajkač'ke	очнулся просветлел	#sa
Udmurt	Beserman	3	sajkomənə		#sa
Udmurt	Beserman	3	sənašʼkənə	расчесаться	#sə
Udmurt	Beserman	3	sənašʼkiz	расчесался	#sə
Udmurt	Beserman	3	sənanə	расчесать	#sə
Udmurt	Beserman	3	səsə-pu	можжевельник	#sə
Udmurt	Beserman	3	səsə-pu2	можжевельник	əsə
